"name";"strength_total";"closeness_all";"centrality";"prestige";"betweenness";"pagerank";"triangles";"degree";"finess";"experimentateur";"status";"section";"reg23_label";"annee";"Count"
"210986089_MCO";4;0.274725274725275;0.04;0.109649122807018;0;0.0190236010959638;0;2;"210986089";0;"MCO";"structureet";"Bourgogne";2015;5
"210987558_MCO";50;0.471698113207547;0.21551724137931;0.128865979381443;0.285583333333333;0.119622542285529;1;21;"210987558";0;"MCO";"structureet";"Bourgogne";2015;5
"210987657_MCO";19;0.378787878787879;0.206611570247934;0.121359223300971;0.118166666666667;0.070403977830351;1;10;"210987657";0;"MCO";"structureet";"Bourgogne";2015;5
"210987673_MCO";7;0.384615384615385;0.2;0.120192307692308;0.0406944444444444;0.0241178078558307;1;7;"210987673";0;"MCO";"structureet";"Bourgogne";2015;5
"210987699_MCO";17;0.462962962962963;0.208333333333333;0.124378109452736;0.150555555555556;0.0582665922358017;1;10;"210987699";0;"MCO";"structureet";"Bourgogne";2015;5
"220000012_MCO";32;0.456140350877193;0.175675675675676;0.181818181818182;0.390769230769231;0.12851795769228;1;16;"220000012";0;"MCO";"structureet";"Bretagne";2015;5
"220000095_MCO";5;0.276595744680851;0.0384047267355982;0.115555555555556;0.0369230769230769;0.0171568028729078;0;3;"220000095";0;"MCO";"structureet";"Bretagne";2015;5
"220000111_MCO";6;0.356164383561644;0.107438016528926;0.184397163120567;0.0887179487179487;0.0978682122643888;1;5;"220000111";0;"MCO";"structureet";"Bretagne";2015;5
"220000343_MCO";11;0.337662337662338;0.156626506024096;0.159509202453988;0.0376923076923077;0.0322401884420016;1;6;"220000343";0;"MCO";"structureet";"Bretagne";2015;5
"220000368_MCO";12;0.366197183098592;0.160493827160494;0.156626506024096;0.216153846153846;0.0696087765858894;1;7;"220000368";0;"MCO";"structureet";"Bretagne";2015;5
"220000541_MCO";5;0.4;0.171052631578947;0.157575757575758;0.0430769230769231;0.0134843038581676;1;5;"220000541";0;"MCO";"structureet";"Bretagne";2015;5
"220000566_MCO";2;0.333333333333333;0.14207650273224;0.159509202453988;0.0384615384615385;0.0134843038581676;0;2;"220000566";0;"MCO";"structureet";"Bretagne";2015;5
"220005599_MCO";3;0.240740740740741;0.149425287356322;0.037037037037037;0;0.00665678735576522;0;2;"220005599";0;"MCO";"structureet";"Bretagne";2015;5
"230000820_MCO";14;0.538461538461538;0.466666666666667;0.368421052631579;0.428571428571429;0.194365139807406;1;7;"230000820";0;"MCO";"structureet";"Limousin";2015;5
"230780082_MCO";5;0.4375;0.333333333333333;0.304347826086957;0.142857142857143;0.0893402310605916;1;4;"230780082";0;"MCO";"structureet";"Limousin";2015;5
"230780157_MCO";6;0.538461538461538;0.466666666666667;0.388888888888889;0.476190476190476;0.119022468748398;1;6;"230780157";0;"MCO";"structureet";"Limousin";2015;5
"240000190_MCO";5;0.232558139534884;0.125;0.0869565217391304;0.192105263157895;0.0389324260235289;1;4;"240000190";0;"MCO";"structureet";"Aquitaine";2015;5
"240000208_MCO";1;0.153846153846154;0.136054421768707;0.0476190476190476;0;0.0138209908877935;0;1;"240000208";0;"MCO";"structureet";"Aquitaine";2015;5
"240000216_MCO";6;0.21505376344086;0.120481927710843;0.0813008130081301;0.0447368421052632;0.0262818916541155;1;5;"240000216";0;"MCO";"structureet";"Aquitaine";2015;5
"240000372_MCO";5;0.202020202020202;0.148148148148148;0.0554016620498615;0.121052631578947;0.0851466871336821;1;5;"240000372";0;"MCO";"structureet";"Aquitaine";2015;5
"240000489_MCO";26;0.222222222222222;0.099009900990099;0.108108108108108;0.223684210526316;0.177231990247692;1;11;"240000489";0;"MCO";"structureet";"Aquitaine";2015;5
"250000270_MCO";24;0.352941176470588;0.236842105263158;0.156521739130435;0.0457516339869281;0.0523452874948326;1;5;"250000270";1;"MCO";"structureet";"Franche-Comté";2015;5
"250000700_MCO";17;0.391304347826087;0.305084745762712;0.115384615384615;0.142156862745098;0.0378523446722927;1;7;"250000700";0;"MCO";"structureet";"Franche-Comté";2015;5
"250000734_MCO";14;0.295081967213115;0.290322580645161;0.0711462450592885;0.0457516339869281;0.0292101635404774;0;3;"250000734";0;"MCO";"structureet";"Franche-Comté";2015;5
